date,area,area_type,variant_name,specimens,percentage,specimens_7d_avg,percentage_7d_avg
2021-01-22,California,State,Alpha,7.0,14.29,14.42857142857,2.988165680473
2021-01-22,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-22,California,State,Gamma,0.0,0.0,0.28571428571,0.059171597633
2021-01-22,California,State,Other,12.0,24.49,195.42857142857,40.473372781065
2021-01-22,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-22,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-22,California,State,Epsilon,29.0,59.18,271.28571428571,56.183431952663
2021-01-23,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-23,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-23,California,State,Gamma,0.0,0.0,0.28571428571,0.074710496825
2021-01-23,California,State,Delta,0.0,0.0,0.85714285714,0.224131490474
2021-01-23,California,State,Epsilon,12.0,42.86,217.85714285714,56.966753828913
2021-01-23,California,State,Omicron,0.0,0.0,0.57142857142,0.14942099365
2021-01-23,California,State,Alpha,11.0,39.29,13.57142857142,3.548748599178
2021-01-23,California,State,Other,5.0,17.86,149.28571428571,39.03623459096
2021-01-23,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-23,California,State,Total,28.0,100.0,382.42857142857,100.0
2021-01-24,California,State,Lambda,0.0,0.0,0.0,0.0
2021-01-24,California,State,Gamma,0.0,0.0,0.14285714285,0.04147656574
2021-01-24,California,State,Total,46.0,100.0,344.42857142857,100.0
2021-01-24,California,State,Beta,0.0,0.0,0.0,0.0
2021-01-24,California,State,Other,4.0,8.7,131.57142857142,38.199917046869
2021-01-24,California,State,Omicron,0.0,0.0,0.57142857142,0.165906262961
2021-01-24,California,State,Delta,0.0,0.0,0.85714285714,0.248859394442
2021-01-24,California,State,Epsilon,35.0,76.09,197.14285714285,57.237660721692
2021-01-24,California,State,Mu,0.0,0.0,0.0,0.0
2021-01-24,California,State,Alpha,7.0,15.22,14.14285714285,4.106180008295
2021-01-25,California,State,Other,31.0,36.05,94.0,37.4715261959
2021-01-25,California,State,Delta,0.0,0.0,0.57142857142,0.227790432802
2021-01-25,California,State,Mu,0.0,0.0,0.0,0.0
